Period,us_cpi,Afghanistan_gdp,Albania_gdp,Benin_gdp,Burkina Faso_gdp,Bangladesh_gdp,Cameroon_gdp,Dominican Republic_gdp,Algeria_gdp,Eritrea_gdp,Ethiopia_gdp,Georgia_gdp,Ghana_gdp,Guinea_gdp,Guinea-Bissau_gdp,India_gdp,Iraq_gdp,Jordan_gdp,Lebanon_gdp,Liberia_gdp,Libya_gdp,Sri Lanka_gdp,Morocco_gdp,Mali_gdp,Niger_gdp,Nigeria_gdp,Nepal_gdp,Pakistan_gdp,Sudan_gdp,Senegal_gdp,Sierra Leone_gdp,Somalia_gdp,Chad_gdp,Togo_gdp,Tunisia_gdp,Afghanistan_fert,Albania_fert,Benin_fert,Burkina Faso_fert,Bangladesh_fert,Cameroon_fert,Dominican Republic_fert,Algeria_fert,Eritrea_fert,Ethiopia_fert,Georgia_fert,Ghana_fert,Guinea_fert,Guinea-Bissau_fert,India_fert,Iraq_fert,Jordan_fert,Lebanon_fert,Liberia_fert,Libya_fert,Sri Lanka_fert,Morocco_fert,Mali_fert,Niger_fert,Nigeria_fert,Nepal_fert,Pakistan_fert,Sudan_fert,Senegal_fert,Sierra Leone_fert,Somalia_fert,Chad_fert,Togo_fert,Tunisia_fert,Albania_value,Algeria_value,Bangladesh_value,Benin_value,Burkina Faso_value,Cameroon_value,Dominican Republic_value,Georgia_value,Guinea_value,Guinea-Bissau_value,India_value,Jordan_value,Lebanon_value,Morocco_value,Nepal_value,Nigeria_value,Sierra Leone_value,Sri Lanka_value,Tunisia_value,Türkiye_value,Afghanistan_employ,Albania_employ,Algeria_employ,Bangladesh_employ,Benin_employ,Burkina Faso_employ,Cameroon_employ,Chad_employ,Dominican Republic_employ,Eritrea_employ,Ethiopia_employ,Georgia_employ,Ghana_employ,Guinea_employ,Guinea-Bissau_employ,India_employ,Iraq_employ,Jordan_employ,Lebanon_employ,Liberia_employ,Libya_employ,Mali_employ,Morocco_employ,Nepal_employ,Niger_employ,Nigeria_employ,Pakistan_employ,Senegal_employ,Sierra Leone_employ,Somalia_employ,Sri Lanka_employ,Sudan_employ,Togo_employ,Tunisia_employ,Afghanistan_cpi,Albania_cpi,Benin_cpi,Burkina Faso_cpi,Bangladesh_cpi,Cameroon_cpi,Dominican Republic_cpi,Algeria_cpi,Ethiopia_cpi,Georgia_cpi,Ghana_cpi,Guinea_cpi,Guinea-Bissau_cpi,India_cpi,Iraq_cpi,Jordan_cpi,Lebanon_cpi,Liberia_cpi,Libya_cpi,Sri Lanka_cpi,Morocco_cpi,Mali_cpi,Niger_cpi,Nigeria_cpi,Nepal_cpi,Pakistan_cpi,Sudan_cpi,Senegal_cpi,Sierra Leone_cpi,Chad_cpi,Togo_cpi,Tunisia_cpi,commodity,Stock_Close
2009-01,211.143,452.0537055,4114.134033,1024.102779,601.5695207,679.2114774,1461.389992,4977.798844,4235.429905,642.9257229,368.5747123,2822.689397,1047.704301,662.1859147,583.1900201,1094.949746,3714.71206,3435.833759,7090.854939,448.386367,9551.054039,2026.6594,3119.588623,662.8833881,461.131534,1820.486339,473.0787512,963.7880664,1178.221802,1308.694043,624.8987979,246.5132517,781.143474,720.6941688,4080.090324,6.235,1.647,5.436,5.992,2.44,5.227,2.556,2.813,4.656,5.39,1.871,4.214,5.508,5.152,2.673,4.362,3.842,2.085,5.174,2.556,2.224,2.578,6.611,7.513,6.039,2.604,4.36,5.05,5.081,5.448,7.34,7.021,5.034,2.046,1879.1199227645313,74832.81988184538,47730.33980814529,984.1798558948277,912.9995393707981,507.2726466418027,1570.3392289718731,3491.7031029440677,3384.1732656674885,27.716122216186346,715829.7777932459,436.3525500247318,14522.00409953487,45932.18886971395,2449.184983293773,49137.02311899151,5087.656250995612,9600.835322692255,339.6609128086851,333569.3571286272,43.24295932733672,45.615782948768086,34.51227102072741,54.826948768087604,68.43535275713727,67.37842823621432,71.81018498240125,64.03626984747751,55.250779820101684,74.40743918654672,78.5687907704341,56.346822057098166,66.65555181853735,56.25162534219789,54.54394133750489,50.17681267109894,38.483262416894796,32.758552209620646,41.7002635901447,75.5622694563942,38.38494172858819,69.40574227610482,43.78076730543606,35.89161791161518,74.85767931169339,57.51024599139617,50.08413883457177,44.350344153304654,57.03792530308955,27.916850606179114,50.101419241298395,41.11707117716074,56.77921509581541,40.45658349628471,0.0,2.266922095,0.8960723560000003,2.608176664,5.423472362,3.043618479,1.4421513180000005,5.737060361,8.483644044999998,1.7275146110000001,19.24694822,4.684388689999999,0.0,10.88235294,6.873615472000001,0.0,1.195096712,7.427643059000001,2.459900256,3.4649632210000014,0.9718629989999998,2.4637518860000007,0.5829065910000004,12.53782773,11.09482374,13.647765060000001,11.25675871,0.0,7.469018985,9.952422907,3.71360592,3.664903306,102.0986338,932.45
2009-02,212.193,461.27453234931505,4112.45371859726,1019.7832878780822,603.5558759780822,685.8508962849315,1456.0560409534246,5020.846168890411,4292.958766506849,634.1585652704109,365.35111152054793,2861.6763484301373,1066.0654920328768,661.9353167726027,584.6342190873972,1116.4008665342467,3778.1592845534246,3459.838116991781,7136.289522252055,452.1120099342466,9725.151127906849,2093.051071649315,3115.2058794356167,663.5191608065754,462.2606268967123,1852.9106735780822,482.6080442542466,965.7853585800001,1189.0432806410959,1305.9074005123286,626.8717934605479,244.19370448958904,788.3878093805479,719.360149231233,4098.076344369862,6.2234493150684935,1.6477643835616438,5.432093150684931,5.987243835616439,2.431506849315068,5.2213095890410965,2.5544712328767125,2.8155479452054797,4.648780821917808,5.375306849315068,1.875076712328767,4.213320547945206,5.498572602739726,5.144271232876712,2.667054794520548,4.367690410958904,3.836564383561644,2.088482191780822,5.16414794520548,2.559991780821918,2.2216219178082195,2.578679452054794,6.608282191780821,7.510621917808219,6.03398904109589,2.596186301369863,4.354649315068493,5.047197260273973,5.079556164383562,5.437723287671234,7.336517808219178,7.018367123287671,5.031706849315069,2.0510109589041092,1894.9823526986722,73315.51039609639,48022.59348741478,974.7211995921915,917.1191991065891,512.6667026854617,1452.490175898145,3500.781226250428,3430.5001285871294,27.711829492626787,717961.7217001723,453.28865416569755,14540.187836585561,42222.73472548137,2428.007858937537,46727.064357810676,5100.739885143083,9632.123156295407,340.10088652263136,334607.40071213787,43.245184004693,45.58458290965976,34.54737485334376,54.81290965975753,68.40920219006648,67.30090398904966,71.77189870942512,63.993788815017595,55.25552014078999,74.39787368009385,78.57948983183418,56.33911752053187,66.65413335940555,56.203858427845134,54.539698083691825,50.15292921392257,38.4815772389519,32.746828705514275,41.71416327727806,75.56109346890888,38.38589342980055,69.40776691435276,43.77426906531091,35.88464685177943,74.82931619084864,57.50737270238561,50.08384786859601,44.31840457567462,56.99118889323425,27.916377786468516,50.090411028549084,41.10155299178725,56.78444035979664,40.45745639421197,0.0,2.382354617441096,1.0074823615863013,2.3217530218931506,5.653059553589041,2.893439359747945,1.8572779135424657,5.581975564873972,8.455244646465754,2.1846724062986302,18.523878878136987,5.564778512657534,0.0,10.976375258849316,6.534240362989041,0.0,1.4319182569780822,7.415946708890411,2.4887765220136986,3.6987529630054796,0.9737055372520548,2.348684559016438,0.6016905942602739,12.639934460712329,10.944637688978084,13.587557581917807,11.40291799241096,0.0,7.444953113580822,8.930672363868494,3.521010075819178,3.637222117589041,105.41776804666667,833.84
2009-03,212.709,469.60302111643836,4110.936015265754,1015.8818120260274,605.3500033260274,691.8477907616439,1451.238278717808,5059.727623630137,4344.920318835617,626.2398422501369,362.4394721068493,2896.8903690767124,1082.649793610959,661.7089702575342,585.9386568824657,1135.7760721780821,3835.466455117808,3481.5194725972606,7177.327210350684,455.4771067780822,9882.400111435616,2153.0177428164384,3111.2472723452056,664.0934071221918,463.2804527389041,1882.1971693260275,491.2151476580822,967.58936442,1198.8175194136986,1303.3904331041097,628.6538539668493,242.09862958986304,794.9310800468493,718.155228330411,4114.321782123287,6.213016438356164,1.6484547945205479,5.4285643835616435,5.9829479452054795,2.423835616438356,5.216169863013699,2.5530904109589043,2.8178493150684933,4.642260273972602,5.362035616438356,1.8787589041095891,4.212706849315069,5.490057534246575,5.137290410958904,2.6616849315068496,4.372830136986302,3.831654794520548,2.091627397260274,5.1552493150684935,2.5635972602739727,2.21947397260274,2.5792931506849315,6.605827397260274,7.50847397260274,6.02946301369863,2.5891287671232877,4.349816438356164,5.044665753424657,5.078252054794521,5.4284410958904115,7.333372602739726,7.0159890410958905,5.029635616438356,2.0555369863013695,1909.309708768219,71945.03731219408,48286.56455256142,966.1778971252943,920.8401820937553,517.5387533055407,1346.045869896068,3508.9808214948825,3472.3437467080958,27.707952193927834,719887.3484548156,468.58578048656983,14556.611857147474,38872.26001456162,2408.8801337125506,44550.32741222799,5112.557361147249,9660.383135033739,340.49828213522795,335544.9884649862,43.24719339069222,45.556402229174815,34.5790815408682,54.800229174814234,68.38558232303481,67.23088208838482,71.7373175596402,63.955418850215096,55.259801720766525,74.38923386781384,78.58915350019554,56.33215858427845,66.65285217051232,56.16071411810716,54.53586546734454,50.13135705905358,38.48005514274541,32.73623973406335,41.72671783339851,75.56003128666406,38.38675303089558,69.40959561986703,43.76839968713336,35.878350410637466,74.80369788815017,57.50477747360188,50.083585060617914,44.28955592491201,56.94897536175205,27.915950723504107,50.08046812671099,41.08753656628862,56.789159953070005,40.45824481814627,0.0,2.486616250613699,1.108110753728767,2.0630477967643834,5.860428629863014,2.757793703649315,2.232230967580822,5.441898974824658,8.429593576821917,2.5975891246328766,17.87078398871233,6.359969320219178,0.0,11.061298643616439,6.227708006463014,0.16364456280273976,1.6458215879260274,7.405382263630137,2.514858310671233,3.9099178912684933,0.9753697653506849,2.2447527798054794,0.6186567907534246,12.73215989490411,10.808985771926029,13.533176633972602,11.534932828136986,0.0,7.423216197460274,8.007800905556165,3.347052539139726,3.6122197538630134,108.41569575333334,897.66
2009-04,213.24,478.82384796575343,4109.255700863014,1011.5623209041096,607.3363586041096,698.4872096465754,1445.9043276712327,5102.774948520548,4402.449180342466,617.472684620548,359.2158713273973,2935.877320506849,1101.0109846438356,661.458372330137,587.382855869863,1157.2271927123288,3898.913679671233,3505.523830589041,7222.761793602739,459.2027497123288,10056.497200342466,2219.4094144657533,3106.864528780822,664.7291798287672,464.40954563561644,1914.6215039041097,500.74444071232875,969.5866566000001,1209.6389980547945,1300.6037906164383,630.6268495273972,239.77908237945206,802.1754154273972,716.8212087616439,4132.30780249315,6.201465753424658,1.6492191780821919,5.424657534246575,5.978191780821918,2.4153424657534246,5.210479452054795,2.5515616438356163,2.820397260273973,4.6350410958904105,5.3473424657534245,1.8828356164383562,4.212027397260274,5.480630136986301,5.129561643835617,2.6557397260273974,4.378520547945206,3.8262191780821917,2.095109589041096,5.145397260273973,2.5675890410958906,2.2170958904109592,2.579972602739726,6.603109589041096,7.5060958904109585,6.02445205479452,2.5813150684931507,4.344465753424657,5.04186301369863,5.076808219178083,5.418164383561644,7.329890410958904,7.013356164383562,5.027342465753424,2.0605479452054793,1925.17213870236,70427.7278264451,48578.81823183091,956.719240822658,924.9598418295463,522.9328093491997,1228.1968168223402,3518.058944801243,3518.6706096277367,27.703659470368276,722019.2923617419,485.52188462753554,14574.795594198165,35162.805870329044,2387.7030093563153,42140.36865104716,5125.64099529472,9691.67096863689,340.9382558491742,336583.0320484969,43.24941806804849,45.52520219006648,34.61418537348455,54.78619006648416,68.35943175596402,67.15335784122018,71.69903128666407,63.91293781775518,55.26454204145483,74.37966836136097,78.59985256159561,56.324454047712166,66.65143371138052,56.1129472037544,54.53162221353148,50.1074736018772,38.4783699648025,32.72451622995698,41.74061752053187,75.55885529917872,38.38770473210794,69.41162025811498,43.76190144700821,35.871379350801725,74.77533476730544,57.50190418459132,50.08329409464216,44.257616347281974,56.90223895189675,27.91547790379351,50.06945991396167,41.07201838091514,56.794385217051236,40.45911771607352,0.0,2.6020487730547943,1.2195207593150685,1.7766241546575343,6.090015821452055,2.6076145843972602,2.6473575631232875,5.286814178698631,8.401194178287671,3.0547469199315067,17.147714646849316,7.240359142876712,0.0,11.155320962465755,5.888332897452055,0.637952079410959,1.8826431329041098,7.393685913520548,2.5437345766849315,4.143707633273973,0.9772123036027397,2.1296854528219176,0.6374407940136986,12.834266625616438,10.65879972090411,13.47296915589041,11.681092110547945,0.0,7.399150326041096,6.986050362424658,3.1544566949589044,3.5845385654520547,111.73483,996.08
2009-05,213.856,487.74722878767125,4107.6295901506855,1007.3821682054795,609.2586379054794,704.9124537287672,1440.7424395616438,5144.433650027398,4458.122272123288,608.9883385273972,356.096257669863,2973.6066283424657,1118.7798791917808,661.2158582068494,588.7804677931506,1177.9863416164383,3960.3142195616438,3528.753854452055,7266.730745136986,462.8082106164384,10224.978254123287,2283.6594192876714,3102.623164041096,665.3444437383562,465.5022161808219,1945.9998922054795,509.9663372164384,971.51952,1220.111396739726,1297.9070398219178,632.536200069863,237.53435927260276,809.186062569863,715.5302220821918,4149.713628657534,6.190287671232877,1.649958904109589,5.420876712328767,5.973589041095891,2.407123287671233,5.204972602739726,2.550082191780822,2.82286301369863,4.628054794520548,5.333123287671232,1.8867808219178082,4.211369863013699,5.471506849315069,5.122082191780822,2.649986301369863,4.384027397260274,3.820958904109589,2.0984794520547942,5.13586301369863,2.5714520547945208,2.2147945205479456,2.580630136986301,6.6004794520547945,7.503794520547945,6.019602739726027,2.5737534246575344,4.339287671232877,5.039150684931506,5.07541095890411,5.408219178082192,7.326520547945205,7.010808219178082,5.025123287671232,2.0653972602739725,1940.5228773483027,68959.36380797834,48861.644373059455,947.5657024652681,928.9466093157957,528.1528635849987,1114.1493461058292,3526.844225420301,3563.503057614486,27.69950522176225,724082.463884574,501.9116628284701,14592.39275908593,31573.011537200742,2367.2090180438295,39808.15049506571,5138.302576727756,9721.9495172851,341.36403686267056,337587.5903551201,43.25157098161909,45.495008603832616,34.6481568244036,54.77260383261635,68.33412475557293,67.07833437622213,71.66198005475167,63.87182714118107,55.26912944857255,74.37041141963238,78.6102064919828,56.3169980445835,66.65006100899491,56.06672115760657,54.527515838873676,50.084360578803285,38.4767391474384,32.71317090340242,41.75406883066093,75.55771724677356,38.38862573328119,69.4135795854517,43.75561282753227,35.86463316386391,74.74788658584278,57.49912358232304,50.083012514665626,44.226707078607745,56.857010168165814,27.915020336331636,50.05880680484943,41.057000782166604,56.799441924129844,40.45996245600313,0.0,2.713757665739726,1.3273368937534247,1.4994399848767124,6.31219697460274,2.462279952863014,3.049092978164383,5.136732117931507,8.373710889383561,3.4971576895753422,16.447970122465755,8.092349293835616,0.0,11.246310303287672,5.55990537260274,1.0969593535479452,2.1118252732054796,7.3823668650273975,2.5716793502465753,4.36995577069863,0.9789954051369862,2.0183299750958903,0.6556188616849314,12.933079590821917,10.51345838120548,13.414703854520548,11.82253657739726,0.0,7.375860773054795,5.997259514232877,2.968073619945206,3.5577503186027397,114.26848425274726,1085.81
2009-06,215.693,496.9680556369863,4105.949275747946,1003.0626770835617,611.2449931835616,711.5518726136987,1435.4084885150685,5187.480974917808,4515.651133630137,600.2211808978082,352.87265689041095,3012.593579772603,1137.1410702246576,660.9652602794521,590.2246667805479,1199.437462150685,4023.7614441150686,3552.758212443836,7312.165328389041,466.53385355068497,10399.075343030137,2350.0510909369864,3098.2404204767126,665.9802164449316,466.63130907753424,1978.4242267835616,519.495630270685,973.51681218,1230.932875380822,1295.1203973342465,634.5091956304109,235.21481206219178,816.4303979504109,714.1962025134247,4167.699649027397,6.17873698630137,1.6507232876712328,5.416969863013699,5.968832876712328,2.3986301369863012,5.1992821917808225,2.548553424657534,2.8254109589041096,4.620835616438356,5.318430136986301,1.8908575342465754,4.210690410958905,5.462079452054795,5.114353424657534,2.6440410958904113,4.389717808219178,3.815523287671233,2.1019616438356166,5.12601095890411,2.5754438356164386,2.2124164383561644,2.5813095890410955,6.597761643835616,7.501416438356165,6.014591780821918,2.5659397260273975,4.33393698630137,5.036347945205479,5.073967123287671,5.397942465753425,7.323038356164384,7.008175342465753,5.022830136986301,2.070408219178082,1956.3853072824436,67442.05432222935,49153.89805232895,938.1070461626318,933.0662690515868,533.5469196286576,996.3002930321011,3535.9223487266613,3609.8299205341273,27.695212498202697,726214.4077915004,518.8477669694358,14610.57649613662,27863.557392968167,2346.031893687594,37398.19173388488,5151.3862108752255,9753.237350888252,341.8040105766168,338625.63393863075,43.25379565897536,45.46380856472428,34.68326065701994,54.75856472428627,68.30797418850214,67.00081012905748,71.62369378177551,63.829346108721154,55.273869769260855,74.3608459131795,78.62090555338287,56.309293508017205,66.64864254986313,56.018954243253816,54.52327258506062,50.06047712162691,38.475053969495505,32.70144739929605,41.76796851779429,75.55654125928822,38.389577434493546,69.41560422369966,43.74911458740712,35.85766210402816,74.71952346499805,57.49625029331248,50.082721548689875,44.19476750097771,56.810273758310515,27.914547516621038,50.04779859210012,41.04148259679312,56.80466718811107,40.460835353930385,0.0,2.829190188180822,1.438746899339726,1.213016342769863,6.541784166191781,2.312100833610959,3.464219573706849,4.98164732180548,8.345311490849316,3.9543154848739723,15.72490078060274,8.97273911649315,0.07341515561095902,11.340332622136987,5.220530263591781,1.5712668701561645,2.348646818183562,7.3706705149178084,2.600555616260274,4.603745512704109,0.9808379433890411,1.9032626481123287,0.6744028649452054,13.035186321534246,10.363272330183563,13.354496376438355,11.96869585980822,0.0,7.351794901635617,4.9755089711013705,2.775477775764384,3.5300691301917806,116.88659364725275,1076.64
2009-07,215.351,505.8914364589041,4104.3231650356165,998.8825243849316,613.1672724849315,717.9771166958905,1430.2466004054793,5229.139676424657,4571.324225410959,591.7368348046575,349.75304323287673,3050.3228876082194,1154.9099647726027,660.7227461561644,591.6222787038356,1220.1966110547946,4085.1619840054796,3575.9882363068496,7356.134279923287,470.13931445479454,10567.556396810958,2414.301095758904,3093.9990557369865,666.5954803545205,467.7239796227397,2009.8026150849316,528.7175267747946,975.44967558,1241.4052740657535,1292.423646539726,636.4185461728766,232.97008895534248,823.4410450928767,712.9052158339726,4185.105475191781,6.1675589041095895,1.6514630136986301,5.41318904109589,5.964230136986301,2.3904109589041096,5.193775342465754,2.54707397260274,2.8278767123287674,4.613849315068493,5.304210958904109,1.8948027397260274,4.210032876712329,5.452956164383561,5.10687397260274,2.638287671232877,4.395224657534246,3.81026301369863,2.105331506849315,5.116476712328767,2.579306849315069,2.2101150684931508,2.581967123287671,6.595131506849315,7.4991150684931505,6.009742465753424,2.5583780821917808,4.328758904109589,5.033635616438357,5.072569863013699,5.3879972602739725,7.319668493150685,7.005627397260274,5.0206109589041095,2.075257534246575,1971.7360459283866,65973.69030376259,49436.724193557486,928.9535078052419,937.0530365378363,538.7669738644566,882.2528223155902,3544.70762934572,3654.662368520876,27.691058249596672,728277.5793143325,535.2375451703705,14628.173661024386,24273.763059839865,2325.5379023751084,35065.97357790343,5164.047792308262,9783.515899536464,342.22979159011317,339630.192245254,43.255948572545954,45.43361497849042,34.71723210793899,54.74497849041846,68.28266718811106,66.92578666405944,71.58664254986313,63.78823543214705,55.278457176378566,74.35158897145091,78.63125948377004,56.30183750488854,66.64726984747752,55.97272819710599,54.519166210402815,50.03736409855299,38.4734231521314,32.690102072741496,41.781419827923344,75.55540320688306,38.3904984356668,69.41756355103638,43.74282596793117,35.85091591709034,74.69207528353539,57.49346969104419,50.08243996871334,44.16385823230348,56.76504497457958,27.91408994915917,50.03714548298788,41.02646499804459,56.80972389518968,40.46168009386,0.0,2.9408990808657536,1.5465630337780822,0.9358321729890411,6.763965319342466,2.1667662020767122,3.865954988747945,4.831565261038357,8.317828201945206,4.396726254517808,15.025156256219176,9.824729267452055,0.41609313407671245,11.431321962958904,4.892102738742466,2.0302741442931507,2.5778289584849317,7.359351466424657,2.6285003898219177,4.829993650128767,0.9826210449232876,1.7919071703863012,0.6925809326164383,13.133999286739726,10.217930990484932,13.296231075068492,12.110140326657534,0.0,7.3285053486493155,3.986718122909589,2.5890947007506853,3.5032808833424656,119.4202479,1172.52
2009-08,215.834,515.1122633082192,4102.642850632877,994.5630332630137,615.1536277630137,724.616535580822,1424.912649358904,5272.187001315068,4628.8530869178085,582.9696771750685,346.5294424534247,3089.309839038356,1173.2711558054796,660.4721482287672,593.0664776912329,1241.647731589041,4148.609208558904,3599.99259429863,7401.568863175342,473.8649573890411,10741.653485717809,2480.692767408219,3089.6163121726026,667.2312530610959,468.85307251945204,2042.2269496630138,538.2468198290411,977.44696776,1252.2267527068493,1289.6370040520549,638.3915417334247,230.6505417449315,830.6853804734246,711.5711962652056,4203.091495561644,6.156008219178083,1.652227397260274,5.409282191780822,5.95947397260274,2.381917808219178,5.188084931506849,2.545545205479452,2.8304246575342464,4.606630136986301,5.289517808219178,1.8988794520547945,4.209353424657535,5.443528767123288,5.099145205479452,2.6323424657534247,4.400915068493151,3.804827397260274,2.108813698630137,5.106624657534247,2.5832986301369862,2.20773698630137,2.5826465753424657,6.5924136986301365,7.49673698630137,6.004731506849315,2.550564383561644,4.3234082191780825,5.030832876712329,5.07112602739726,5.377720547945206,7.316186301369863,7.002994520547945,5.0183178082191775,2.080268493150685,1987.5984758625275,64456.3808180136,49728.97787282698,919.4948515026057,941.1726962736274,544.1610299081157,764.4037692418622,3553.78575265208,3700.9892314405174,27.686765526037114,730409.5232212589,552.1736493113362,14646.357398075077,20564.308915607286,2304.360778018873,32656.0148167226,5177.131426455732,9814.803733139615,342.6697653040594,340668.2358287646,43.25817324990223,45.40241493938208,34.75233594055534,54.73093938208839,68.25651662104028,66.8482624168948,71.54835627688698,63.74575439968713,55.28319749706687,74.34202346499804,78.64195854517011,56.29413296832225,66.64585138834572,55.92496128275323,54.51492295658975,50.01348064137662,38.4717379741885,32.67837856863512,41.795319515056704,75.55422721939773,38.39145013687916,69.41958818928433,43.73632772780603,35.8439448572546,74.66371216269066,57.49059640203363,50.08214900273759,44.13191865467345,56.71830856472428,27.91361712944857,50.026137270238564,41.0109468126711,56.81494915917091,40.46255299178725,0.0,3.0563316033068495,1.6579730393643837,0.6494085308821917,6.993552510931507,2.0165870828246577,4.28108158429041,4.676480464912329,8.289428803410958,4.853884049816439,14.302086914356163,10.705119090109589,0.7701937118246578,11.52534428180822,4.552727629731507,2.5045816609013696,2.814650503463014,7.347655116315068,2.657376655835616,5.063783392134247,0.9844635831753424,1.6768398434027398,0.7113649358767122,13.236106017452055,10.067744939463013,13.236023596986302,12.256299609068492,0.0,7.3044394772301375,2.964967579778082,2.3964988565698633,3.475599694931507,123.23236534347826,1212.9
2009-09,215.969,524.3330901575342,4100.962536230137,990.2435421410959,617.1399830410959,731.2559544657535,1419.5786983123287,5315.234326205479,4686.381948424658,574.2025195454794,343.3058416739726,3128.296790468493,1191.6323468383562,660.2215503013699,594.51067667863,1263.0988521232878,4212.056433112329,3623.996952290411,7447.003446427397,477.5906003232877,10915.750574624657,2547.0844390575344,3085.2335686082192,667.8670257676713,469.9821654161644,2074.651284241096,547.7761128832876,979.44425994,1263.0482313479451,1286.8503615643835,640.3645372939726,228.33099453452056,837.9297158539725,710.2371766964384,4221.077515931506,6.144457534246576,1.6529917808219177,5.405375342465753,5.954717808219178,2.3734246575342466,5.182394520547946,2.5440164383561643,2.832972602739726,4.59941095890411,5.274824657534246,1.9029561643835617,4.20867397260274,5.434101369863014,5.091416438356164,2.626397260273973,4.406605479452055,3.7993917808219178,2.1122958904109588,5.096772602739726,2.587290410958904,2.2053589041095893,2.58332602739726,6.589695890410959,7.494358904109589,5.999720547945206,2.542750684931507,4.3180575342465755,5.028030136986302,5.069682191780822,5.367443835616439,7.312704109589041,7.000361643835617,5.016024657534246,2.0852794520547944,2003.4609057966684,62939.07133226461,50021.23155209647,910.0361951999695,945.2923560094184,549.5550859517746,646.5547161681341,3562.8638759584405,3747.3160943601583,27.68247280247756,732541.4671281853,569.1097534523019,14664.541135125766,16854.854771374707,2283.183653662638,30246.05605554177,5190.215060603202,9846.091566742767,343.1097390180056,341706.2794122753,43.26039792725851,45.371214900273756,34.787439773171684,54.71690027375831,68.23036605396949,66.77073816973015,71.51007000391084,63.70327336722722,55.28793781775518,74.33245795854516,78.6526576065702,56.286428431755965,66.64443292921392,55.87719436840047,54.51067970277669,49.989597184200235,38.470052796245604,32.66665506452875,41.809219202190064,75.55305123191239,38.392401838091516,69.42161282753227,43.72982948768088,35.83697379741885,74.63534904184591,57.48772311302307,50.08185803676183,44.099979077043415,56.67157215486898,27.913144309737973,50.01512905748925,40.99542862729761,56.82017442315213,40.46342588971451,0.0,3.1717641257479454,1.7693830449506849,0.3629848887753422,7.223139702520548,1.8664079635726027,4.696208179832876,4.521395668786301,8.261029404876712,5.311041845115069,13.57901757249315,11.585508912767123,1.1242942895726031,11.619366600657536,4.213352520720548,2.978889177509589,3.051472048441096,7.335958766205479,2.686252921849315,5.297573134139726,0.9863061214273973,1.561772516419178,0.7301489391369863,13.338212748164384,9.917558888441096,13.175816118904109,12.402458891479451,0.06660523406301389,7.280373605810959,1.9432170366465744,2.2039030123890413,3.4479185065205478,127.04448278695652,1262.87
2009-10,216.177,533.256470979452,4099.3364255178085,986.0633894424658,619.0622623424657,737.6811985479453,1414.4168102027397,5356.893027712329,4742.05504020548,565.7181734523288,340.18622801643835,3166.0260983041094,1209.4012413863015,659.9790361780822,595.9082886019178,1283.8580010273972,4273.45697300274,3647.226976153425,7490.972397961644,481.19606122739725,11084.23162840548,2611.334443879452,3080.992203868493,668.4822896772603,471.07483596136984,2106.029672542466,556.9980093873972,981.37712334,1273.5206300328766,1284.153610769863,642.2738878364383,226.08627142767122,844.9403629964384,708.9461900169864,4238.48334209589,6.133279452054794,1.653731506849315,5.4015945205479445,5.950115068493151,2.3652054794520545,5.176887671232877,2.5425369863013696,2.8354383561643837,4.592424657534246,5.260605479452054,1.9069013698630137,4.2080164383561645,5.424978082191781,5.08393698630137,2.6206438356164385,4.412112328767123,3.794131506849315,2.1156657534246572,5.0872383561643835,2.5911534246575343,2.2030575342465757,2.5839835616438354,6.587065753424658,7.492057534246576,5.994871232876712,2.5351890410958906,4.312879452054794,5.025317808219178,5.06828493150685,5.357498630136987,7.309334246575343,6.997813698630137,5.013805479452055,2.0901287671232875,2018.8116444426112,61470.70731379785,50304.05769332501,900.8826568425795,949.2791234956678,554.7751401875736,532.507245451623,3571.6491565774986,3792.1485423469076,27.678318553871534,734604.6386510173,585.4995316532365,14682.138300013532,13265.060438246404,2262.689662350152,27913.83789956032,5202.876642036238,9876.370115390979,343.53552003150196,342710.83771889855,43.2625508408291,45.34102131403989,34.82141122409073,54.7033140398905,68.20505905357841,66.69571470473211,71.47301877199844,63.66216269065311,55.2925252248729,74.32320101681658,78.66301153695737,56.2789724286273,66.64306022682831,55.830968322252644,54.50657332811889,49.966484161126324,38.4684219788815,32.655309737974186,41.82267051231912,75.55191317950722,38.39332283926476,69.42357215486899,43.72354086820493,35.83022761048103,74.60790086038325,57.48494251075479,50.0815764567853,44.069069808369186,56.62634337113805,27.912686742276104,50.00447594837701,40.980411028549085,56.82523113023074,40.46427062964411,0.0,3.283473018432877,1.8771991793890412,0.08580071899452069,7.445320855671233,1.721073332038356,5.097943594873972,4.371313608019178,8.233546115972603,5.7534526147589045,12.879273048109589,12.437499063726026,1.4669722680383566,11.710355941479452,3.884924995871233,3.4378964516465755,3.2806541887424663,7.324639717712329,2.714197695410959,5.523821271564383,0.9880892229616438,1.4504170386931508,0.7483270068082192,13.437025713369863,9.772217548742466,13.117550817534246,12.543903358328766,0.35236161839178104,7.257084052824657,0.9544261884547947,2.0175199373753427,3.4211302596712327,130.7336287,1240.12
